riga;codice_servizio;codice_comp o codice_tratto;data_inizio_corretta
429;0502AD4302;301580;['20231109 rip 0']
430;0502AD4302;297731;['20240410 rip 0']
431;0502AD4302;297732;['20240410 rip 0']
432;0502AD4302;310702;['20240207 rip 0']
433;0502RA5403;300444;['20230927 rip 0']
434;0502RA5403;314380;['20240324 rip 0']
435;0502RA5403;300715;['20231019 rip 0']
436;0502RA5403;279290;['20240410 rip 0']
437;0504004401;315933;['20240427 rip 0']
438;0504004401;315981;['20240427 rip 0']
439;0504004701;316238;['20240430 rip 0']
440;0504004901;316251;['20240430 rip 0']
441;0504004901;316264;['20240430 rip 0']
442;0504007101;315752;['20240427 rip 0']
443;0504007101;315755;['20240427 rip 0']
444;0504007101;315756;['20240427 rip 0']
445;0504007101;315753;['20240427 rip 0']
446;0507000101;175828;['20230727 rip 0']
447;0507000101;313215;['20240305 rip 0']
448;0507000101;313216;['20240305 rip 0']
449;0507000101;175065;['20230727 rip 0']
450;0507000101;175826;['20230727 rip 0']
451;0507000101;279240;['20230727 rip 0']
452;0507000101;175827;['20230727 rip 0']
453;0507000101;279241;['20230727 rip 0']
454;0507000101;300930;['20231031 rip 0']
455;0507000101;300929;['20231031 rip 0']
456;0507000101;315751;['20240427 rip 0']
457;0507000101;300886;['20231028 rip 0']
458;0507000101;300885;['20231028 rip 0']
459;0507000101;300884;['20231028 rip 0']
460;0507000101;300931;['20231031 rip 0']
