riga;codice_servizio;codice_comp o codice_tratto;data_inizio_corretta;data_fine_corretta
777;0500101103;303485;;
778;0500102102;313496;20240306;99991231
779;0500102102;313496;;
780;0500102102;313497;20240306;99991231
781;0500102102;313497;;
782;0500102102;313498;20240306;99991231
783;0500102102;313498;;
784;0500102102;313499;20240306;99991231
785;0500102102;313499;;
786;0500102102;313500;20240306;99991231
787;0500102102;313500;;
788;0500102102;313501;20240306;99991231
789;0500102102;313501;;
790;0500102102;313502;20240306;99991231
791;0500102102;313502;;
792;0500102102;313503;20240306;99991231
793;0500102102;313503;;
794;0500102102;313285;20240306;99991231
795;0500102102;313285;;
796;0500102102;312669;20240224;99991231
797;0500102102;312669;;
798;0500102102;312670;20240224;99991231
799;0500102102;312670;;
800;0500102102;314697;20240406;99991231
801;0500102102;314697;;
802;0500102102;314698;20240406;99991231
803;0500102102;314698;;
804;0500102102;314699;20240406;99991231
805;0500102102;314699;;
806;0500102102;314700;20240406;99991231
807;0500102102;314700;;
808;0500102102;314701;20240406;99991231
809;0500102102;314701;;
810;0500102102;314702;20240406;99991231
811;0500102102;314702;;
812;0500102102;300711;20231018;99991231
813;0500102102;300711;;
814;0500102102;312659;20240224;99991231
815;0500102102;312659;;
816;0500102102;312660;20240224;99991231
817;0500102102;312660;;
818;0500102102;312661;20240224;99991231
819;0500102102;312661;;
820;0500102102;312658;20240224;99991231
821;0500102102;312658;;
822;0500102102;294167;20240229;99991231
823;0500102102;294167;;
824;0500102102;294168;20240229;99991231
825;0500102102;294168;;
826;0500102102;295602;20240229;99991231
827;0500102102;295602;;
828;0500102102;295603;20240229;99991231
829;0500102102;295603;;
830;0500102102;295604;20240229;99991231
831;0500102102;295604;;
832;0500102102;295605;20240229;99991231
833;0500102102;295605;;
834;0500103101;312960;20240229;99991231
835;0500103101;312960;;
836;0500103101;312959;20240229;99991231
837;0500103101;312959;;
838;0500103101;299635;20230811;99991231
839;0500103101;299635;;
840;0500103101;299636;20230811;99991231
841;0500103101;299636;;
842;0500103101;299637;20230811;99991231
843;0500103101;299637;;
844;0500105403;304453;20240119;20240521
845;0500105403;304453;;
846;0500105403;304433;20240303;99991231
847;0500105403;304433;;
848;0500105403;304434;20240303;99991231
849;0500105403;304434;;
850;0500105403;304435;20240303;99991231
851;0500105403;304435;;
852;0500105403;304436;20240303;99991231
853;0500105403;304436;;
854;0500105403;304437;20240303;99991231
855;0500105403;304437;;
856;0500105403;304466;20240120;99991231
857;0500105403;304466;;
858;0500105403;312193;20240220;99991231
859;0500105403;312193;;
860;0500105403;312186;20240220;99991231
861;0500105403;312186;;
862;0500105403;281905;20240119;99991231
863;0500105403;281905;;
864;0500105403;281901;20240119;99991231
865;0500105403;281901;;
866;0500105403;281902;20240119;99991231
867;0500105403;281902;;
868;0500105403;281897;20240119;99991231
869;0500105403;281897;;
870;0500105403;312190;20240220;99991231
871;0500105403;312190;;
872;0500105403;312192;20240220;99991231
873;0500105403;312192;;
874;0500105403;304483;20240124;99991231
875;0500105403;304483;;
876;0500105403;304472;20240121;99991231
877;0500105403;304472;;
878;0500105403;304454;20240119;99991231
879;0500105403;304454;;
880;0500105403;304467;20240120;99991231
881;0500105403;304467;;
882;0500105403;304488;20240124;99991231
883;0500105403;304488;;
884;0500105403;312191;20240220;99991231
885;0500105403;312191;;
886;0500105403;304447;20240119;99991231
887;0500105403;304447;;
888;0500105403;304448;20240119;99991231
889;0500105403;304448;;
890;0500105403;304449;20240119;99991231
891;0500105403;304449;;
892;0500105403;304450;20240119;99991231
893;0500105403;304450;;
894;0500105403;304451;20240119;99991231
895;0500105403;304451;;
896;0500105403;304455;20240119;99991231
897;0500105403;304455;;
898;0500105403;304457;20240119;99991231
